Season,Player,Position,Nationality,Team,year,player,prev_mvp_count
1997–98,Michael Jordan (5),Shooting guard,United States,Chicago Bulls (5),1998,Michael Jordan ,4
1998–99,Karl Malone (2)[h],Power forward,United States,Utah Jazz (2),1999,Karl Malone ,1
1999–00,Shaquille O'Neal,Center,United States,Los Angeles Lakers (7),2000,Shaquille O'Neal,0
2000–01,Allen Iverson,Shooting guard,United States,Philadelphia 76ers (6),2001,Allen Iverson,0
2001–02,Tim Duncan,Power forward,United States[c],San Antonio Spurs (2),2002,Tim Duncan,0
2002–03,Tim Duncan (2),Power forward,United States[c],San Antonio Spurs (3),2003,Tim Duncan ,1
2003–04,Kevin Garnett,Power forward,United States,Minnesota Timberwolves,2004,Kevin Garnett,0
2004–05,Steve Nash,Point guard,Canada[d],Phoenix Suns (2),2005,Steve Nash,0
2005–06,Steve Nash (2),Point guard,Canada[d],Phoenix Suns (3),2006,Steve Nash ,1
2006–07,Dirk Nowitzki,Power forward,Germany,Dallas Mavericks,2007,Dirk Nowitzki,0
2007–08,Kobe Bryant,Shooting guard,United States,Los Angeles Lakers (8),2008,Kobe Bryant,0
2008–09,LeBron James,Small forward,United States,Cleveland Cavaliers,2009,LeBron James,0
2009–10,LeBron James (2),Small forward,United States,Cleveland Cavaliers (2),2010,LeBron James ,1
2010–11,Derrick Rose[i],Point guard,United States,Chicago Bulls (6),2011,Derrick Rose,0
2011–12,LeBron James (3),Small forward,United States,Miami Heat,2012,LeBron James ,2
2012–13,LeBron James (4),Small forward,United States,Miami Heat (2),2013,LeBron James ,3
2013–14,Kevin Durant,Small forward,United States,Oklahoma City Thunder,2014,Kevin Durant,0
2014–15,Stephen Curry,Point guard,United States,Golden State Warriors (2),2015,Stephen Curry,0
2015–16,Stephen Curry (2),Point guard,United States,Golden State Warriors (3),2016,Stephen Curry ,1
2016–17,Russell Westbrook,Point guard,United States,Oklahoma City Thunder (2),2017,Russell Westbrook,0
2017–18,James Harden,Shooting guard,United States,Houston Rockets (4),2018,James Harden,0
2018–19,Giannis Antetokounmpo,Power forward,Greece,Milwaukee Bucks (4),2019,Giannis Antetokounmpo,0
2019–20,Giannis Antetokounmpo (2),Power forward,Greece,Milwaukee Bucks (5),2020,Giannis Antetokounmpo ,1
2020–21,Nikola Jokić,Center,Serbia,Denver Nuggets,2021,Nikola Jokić,0
